product_id,name,description,price,currency,category,brand,image_url,availability,condition,amazon_url,custom_label_1,custom_label_2
B0CLBBPYHQ,Blendtec Original Designer Series Blender,"90 Oz WildSide+ Jar - Kitchen Blender Bundle - Professional Grade Blending Power for Smoothies, Soups, and More - Gunmetal",499.95,USD,Kitchen & Dining,Blendtec,https://m.media-amazon.com/images/I/61PvFuKgTvL._AC_UY218_.jpg,in stock,new,https://www.amazon.com/dp/B0CLBBPYHQ,premium-blender,professional-grade
B0FBRG6NW9,Professional Blender 8-Cup Big Capacity,"Powerful 25000RPM Motor, Perfect for Smoothies Shakes and Frozen Drinks, BPA-Free & Dishwasher-Safe, Red",56.99,USD,Kitchen & Dining,Generic,https://m.media-amazon.com/images/I/61kVuhSVY2L._AC_UY218_.jpg,in stock,new,https://www.amazon.com/dp/B0FBRG6NW9,high-power,bpa-free
B0DPNKPWK2,Bella 3.5 Qt Hand Blender Stand Mixer,"2 in 1 Electric Mixer with Bowl, Dough Hook, Whisk & Egg Beater, Multifunctional Handheld Blender & Mixer for Baking, 200 Watt, Oatmilk",79.99,USD,Kitchen & Dining,Bella,https://m.media-amazon.com/images/I/61otz1AEGhL._AC_UY218_.jpg,in stock,new,https://www.amazon.com/dp/B0DPNKPWK2,2-in-1,baking-essential
B00939I7EK,Ninja Mega Kitchen System,"1500W, 72 oz Full-Size Blender & 8-Cup Food Processor with 2x 16 oz To-Go Cups, Total Crushing Technology - Smoothies, Ice Crushing, Purees, Dough & More, Black",199.99,USD,Kitchen & Dining,Ninja,https://m.media-amazon.com/images/I/81WPPmP+4mL._AC_UY218_.jpg,in stock,new,https://www.amazon.com/dp/B00939I7EK,multi-function,food-processor
B00EI7DPI0,Hamilton Beach Power Elite Wave Action Blender,"For Smoothies, 40 Oz Glass Jar, 12 Functions Including Puree, Crush Ice, 700 Watts - Black",31.96,USD,Kitchen & Dining,Hamilton Beach,https://m.media-amazon.com/images/I/71k1RTjfAhL._AC_UY218_.jpg,in stock,new,https://www.amazon.com/dp/B00EI7DPI0,budget-friendly,glass-jar
B0CJCKHQGK,Bosch Universal Plus Stand Mixer,"500 Watt, 6.5 Quarts with Wire Whips, Dough Hook & NutriMill Dough Hook Extender Bundle",549.00,USD,Kitchen & Dining,Bosch,https://m.media-amazon.com/images/I/61bZke6ZsJL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0CJCKHQGK,professional-mixer,heavy-duty
B0CDW6J1W8,KOIOS Smoothie Blender Personal,"900W Personal Blender for Shakes and Smoothies with 2 No-BPA 22oz Portable Cups, Single Serve Smoothies Maker Mixer for Juices, Grey Blue",28.48,USD,Kitchen & Dining,KOIOS,https://m.media-amazon.com/images/I/71q0NvJZecL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0CDW6J1W8,personal-size,portable-cups
B0CM81J5W3,Universal 550W Mass Vital Blender,"Glass Jar 57 Oz/1.8 Quart/1.7 Liter - 7-cup, 2 Speed + Pulse Function and 4 Stainless Steel Blade with Chrome Steel Technology",32.99,USD,Kitchen & Dining,Universal,https://m.media-amazon.com/images/I/51OpK+34rXL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0CM81J5W3,glass-jar,pulse-function
B0DHKTMWZ1,Simplus 3 in 1 Blender Food Processor Combo,"Small Electric Food Chopper, Meat and Vegetable Grinder, 380W High Speed 5 Cup Blenders with 2 Speeds and Pulse for Smoothies and Shakes",44.99,USD,Kitchen & Dining,Simplus,https://m.media-amazon.com/images/I/61MxUdFJeNL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0DHKTMWZ1,3-in-1,food-chopper
B009NIRA1M,BLACK+DECKER 10-Speed Countertop Blender,"6-Cup Plastic Jar, Dishwasher-Safe, Stainless Steel, Suction Feet, Multiple Speed Settings",36.99,USD,Kitchen & Dining,BLACK+DECKER,https://m.media-amazon.com/images/I/71qMtCUmDuL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B009NIRA1M,10-speed,dishwasher-safe
B0FCXTYM81,Pots and Pans Set Hybrid Stainless Steel,"10PC Nonstick Tri-Ply Cookware Set w/Frying pan, Dishwasher & Oven Safe, PFOA-Free, Metal Utensil Safe, Suitable for All Cooktops",139.99,USD,Kitchen & Dining,Generic,https://m.media-amazon.com/images/I/71Gg3+lJ4KL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0FCXTYM81,tri-ply,all-cooktops
B0CGS1J9P6,Caraway Nonstick Ceramic Cookware Set,"12 Piece Pots, Pans, Lids and Kitchen Storage - Non Toxic - Oven Safe & Compatible with All Stovetops - White",595.00,USD,Kitchen & Dining,Caraway,https://m.media-amazon.com/images/I/611xhLXhjIL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0CGS1J9P6,ceramic-coating,non-toxic
B0BZHG5VQL,SENSARTE Nonstick Ceramic Cookware Set,"13-Piece, Healthy Pots and Pans Set, Non-toxic Kitchen Cooking Set with Stay-Cool Handles, Silicone Tools and Pot Protectors, PFAS and PFOA Free",65.95,USD,Kitchen & Dining,SENSARTE,https://m.media-amazon.com/images/I/71Vp9n43OsL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0BZHG5VQL,13-piece,pfoa-free
B0DGLVW188,CAROTE Nonstick Pots and Pans,"Induction Cookware Set 16pcs Kitchen Cooking Sets, Pot and Pan Non Stick w/Frying pan (PFOS, PFOA Free)",99.99,USD,Kitchen & Dining,CAROTE,https://m.media-amazon.com/images/I/71umyc3IQvL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0DGLVW188,16-piece,induction-ready
B0D943RYCX,16PCS Pots and Pans Set Non Stick,"Cookware Set Nonstick with Cooking Set, Complete Kitchen Starter Set, PFOA Free",49.98,USD,Kitchen & Dining,Generic,https://m.media-amazon.com/images/I/71eaUGSY5JL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0D943RYCX,starter-set,budget-cookware
B00TQJWF1I,T-Fal Ultimate Hard Anodized Nonstick Cookware Set,"17 Piece, Nonstick Pots and Pans Set with Fry Pan, Saucepans, Saute-Pan, Griddle, Dishwasher Safe, Black",352.14,USD,Kitchen & Dining,T-fal,https://m.media-amazon.com/images/I/710w10ywNcL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B00TQJWF1I,17-piece,hard-anodized
B0D4PV79J9,SENSARTE Nonstick Cookware Set 13-Piece,"Non Stick Pots and Pans Set with Swiss Granite Coating, Healthy Kitchen Cooking Set, Stay-Cool Handles, PFOA Free",69.98,USD,Kitchen & Dining,SENSARTE,https://m.media-amazon.com/images/I/71pgEb9pOVL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0D4PV79J9,granite-coating,stay-cool-handles
B0BR5H63YL,Moss & Stone 6 Pcs Black Nonstick Cookware Set,"Pots And Pans Set Non stick With Glass Lid, Induction Cookware, Stay-Cool Handle PTFE/PFOA Kitchen Pots 6-Piece with Frying Pans & Saucepan",48.99,USD,Kitchen & Dining,Moss & Stone,https://m.media-amazon.com/images/I/81ZU9OI029L._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0BR5H63YL,6-piece,glass-lids
B0F131RG2Y,SENSARTE Ceramic Cookware Sets,"Pots and Pans Set Non stick, Non toxic Healthy Induction Cookware, 26 Pcs Nonstick Kitchen Cooking Set, w/Frying Pans Set, Saucepans Set",179.99,USD,Kitchen & Dining,SENSARTE,https://m.media-amazon.com/images/I/710IrMvmvIL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0F131RG2Y,26-piece,ceramic-coating
B0BWRHT87R,Magicorange 7-Piece Kitchen Knife Set,"5 Black Stainless Steel Knives with Sheaths, Cutting Board, and a Knife Block- Stainless Steel Kitchen Knives with PP Ergonomic Handle (Black)",16.99,USD,Kitchen & Dining,Magicorange,https://m.media-amazon.com/images/I/61G21sTs+TL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0BWRHT87R,knife-set,cutting-board-included
B08DHTN88H,Cutting Boards for Kitchen Bamboo Set,"Bamboo Cutting Board Set with 6 Color-Coded Flexible Chopping Mats, Easy Clean Wood and Dishwasher-Safe Plastic, Large 17×12, Knife-Friendly",39.99,USD,Kitchen & Dining,Cooler Kitchen,https://m.media-amazon.com/images/I/81kcA3IPJJL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B08DHTN88H,bamboo-wood,color-coded
B0F2GLXMTS,Stainless Steel Cutting Board,"Double Sided, Juice Groove, Handle, Garlic Grinder, Non-Slip Edge, 304 Stainless Steel and Wheat Straw, Dishwasher Safe, 15×10",15.99,USD,Kitchen & Dining,Generic,https://m.media-amazon.com/images/I/719iQKgjNGL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0F2GLXMTS,stainless-steel,knife-sharpener
B08SHCQT7N,Glad Knife Set with Cutting Board,"5 Pieces Sharp Santoku and Utility Knives with Blade Covers and Plastic Chopping Block Kitchen Cooking Accessories,Gray",24.99,USD,Kitchen & Dining,Glad,https://m.media-amazon.com/images/I/91Y3D6vjVAL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B08SHCQT7N,5-piece,blade-covers
B08P7H45KJ,RAXCO Utensil Sets 18-Piece,"Knifes and cutting board,Silicone Cooking Tools and Kitchen Accessories,Straw Wheat Material",39.99,USD,Kitchen & Dining,RAXCO,https://m.media-amazon.com/images/I/61j0GuwuzfL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B08P7H45KJ,18-piece,silicone-tools
B08SPZHJGD,Chef Craft Select Wheat Straw Cutting Board Knife Set,"10 inch x 7.5 inch, Blue, Eco-Friendly Wheat Straw Material",8.72,USD,Kitchen & Dining,Chef Craft,https://m.media-amazon.com/images/I/81ZNfFiy3FL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B08SPZHJGD,eco-friendly,wheat-straw
B07RS2F8BK,Silicone Thick Cutting Boards Mats Set,"3pcs Foldable & Flexible Design Juice Grooves Easy Grip Handle Dishwasher Safe for Kitchen,BPA free Silicone Cutting Mats-Yellow",42.90,USD,Kitchen & Dining,Generic,https://m.media-amazon.com/images/I/61DQh+QJ+hL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B07RS2F8BK,silicone-mats,foldable
B0DHTV3958,Dual-Sided Stainless Steel Cutting Board,"Multi-Use, Hygienic Prep for Daily Kitchen Use – Non-Slip, Dishwasher Safe, Includes Scraper & Finger Guard – 3-Pc Set",19.99,USD,Kitchen & Dining,Generic,https://m.media-amazon.com/images/I/71WrkrlgisL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0DHTV3958,dual-sided,finger-guard
B09TNCMT9G,Blue Ginkgo TPU Cutting Mats Set of 3,"Korean-Made Flexible, Knife-Friendly, Durable Kitchen Cutting Boards (Dark Gray, Gray, Blue)",29.99,USD,Kitchen & Dining,Blue Ginkgo,https://m.media-amazon.com/images/I/61bvNwPliOL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B09TNCMT9G,korean-made,tpu-material
B0CM989SCP,Cooking Utensils Set 19 Kitchen Set,"11 Pieces Spatula Cooking Utensils,Heat Resistant Silicone Utensils 6 Piece Sharp Knife Set 2 Pieces Utensil Cutting Board (Black 19 PCS Set)",39.95,USD,Kitchen & Dining,Generic,https://m.media-amazon.com/images/I/711KbGadoKL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0CM989SCP,19-piece,heat-resistant
B0B9YP76FN,Ninja Espresso Coffee Maker Barista System,"3 Espresso Brew Styles, Single-Serve Coffee & Nespresso Capsule Compatible, Built-in Frother, Espresso, Cappuccino & Latte Maker, Black",279.95,USD,Kitchen & Dining,Ninja,https://m.media-amazon.com/images/I/71TEecJZzWL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0B9YP76FN,espresso-maker,built-in-frother
B0F3HH834M,Gevi Commercial Espresso Coffee Makers,"Professional 20 Bar Espresso Maker with Milk Frother, Stainless Steel Expresso Coffee Machines for Home, Compact Cappuccino Machine, Great Gift",119.95,USD,Kitchen & Dining,Gevi,https://m.media-amazon.com/images/I/71sZoZpDubL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0F3HH834M,20-bar,milk-frother
B0D45PK5V4,Ninja Espresso Machine Drip Coffee Maker,"Luxe Café Premier Series, Integrated Coffee Grinder, Milk Frother, Assisted Tamper & Built-In Espresso Accessory Storage, Stainless Steel",599.95,USD,Kitchen & Dining,Ninja,https://m.media-amazon.com/images/I/71qpXBJXcJL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0D45PK5V4,premium-series,integrated-grinder
B0DB5KLFWL,Espresso Machine With Grinder,"20 Bar Espresso Machine with Milk Frother Steam Wand, Espresso Machines for Home, Expresso Coffee Machines Professional, Cappuccino Latte Machine",399.99,USD,Kitchen & Dining,Generic,https://m.media-amazon.com/images/I/71e4PRs5sWL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0DB5KLFWL,with-grinder,steam-wand
B0DRJPPQXT,3.5Bar Espresso Machine with Milk Frother,"800W Compact Espresso and Cappuccino Machine with Preheating Function, 4 Cup Espresso Maker for Cappuccino or Latte, Gift for Coffee Lover",44.99,USD,Kitchen & Dining,Generic,https://m.media-amazon.com/images/I/710giciPMQL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0DRJPPQXT,compact-size,preheating-function
B0B6R6CKMK,Espresso Machine 20 Bar Professional,"Coffee Maker Stainless Steel Espresso Maker with Power Steam & LED Display for Home Barista, Americano, Latte, Cappuccino Machine, 1.8L Water Tank",142.49,USD,Kitchen & Dining,Generic,https://m.media-amazon.com/images/I/71b9aJDy12L._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0B6R6CKMK,led-display,large-tank
B0DGLKWMDY,AIRMSEN 20 Bar Espresso Machine,"Automatic Milk Frother for Home, Cappuccino & Latte Coffee Maker with Quick Brew Dual Boiler (1350W + 1000W), Stainless Steel, 60oz Water Tank, Touchscreen",179.99,USD,Kitchen & Dining,AIRMSEN,https://m.media-amazon.com/images/I/71-hhjHeW9L._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0DGLKWMDY,dual-boiler,touchscreen
B0DYHVWBPV,AIRMSEN Espresso Machines with Burr Grinder,"20 Bar, Milk Frother Steam Wand, Stainless Steel Coffee Maker for Home - Cappuccino Latte & Cold Brew Iced Coffee Maker & Americano",339.99,USD,Kitchen & Dining,AIRMSEN,https://m.media-amazon.com/images/I/71n2B7AJBZL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0DYHVWBPV,burr-grinder,cold-brew
B00CH9QWOU,Breville Barista Express Espresso Machine,"BES870XL, Brushed Stainless Steel, Professional Grade Espresso Machine with Integrated Grinder",697.99,USD,Kitchen & Dining,Breville,https://m.media-amazon.com/images/I/71BvCt6eAFL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B00CH9QWOU,barista-express,professional-grade
B07VFY4MXM,Philips 3200 Series Fully Automatic Espresso Machine,"LatteGo Milk Frother, 5 Coffee Varieties, Intuitive Touch Display, 100% Ceramic Grinder, AquaClean Filter, My Coffee Choice, Black",499.99,USD,Kitchen & Dining,Philips,https://m.media-amazon.com/images/I/51HrtoZ9YVL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B07VFY4MXM,fully-automatic,ceramic-grinder
B0DPQTDXWC,TOSHIBA Combo 8-in-1 Countertop Microwave Oven,"with Convection, Broil, Odor Removal Mode, 12.4 Position Memory Turntable, Child-Lock, Black Stainless Steel, Air Fryer-1.0 Cu.Ft",223.99,USD,Kitchen & Dining,TOSHIBA,https://m.media-amazon.com/images/I/71lC4gQsInL._AC_UY218_.jpg,in stock,new,https://www.amazon.com/dp/B0DPQTDXWC,8-in-1,air-fryer-combo
B0CJMV9RZK,Nuwave Bravo XL Pro Air Fryer Toaster Oven,"Improved 100% Super Convection, Quicker & Crispier Results, 100 Presets, Multi-Layer Even Cooking, 50-500F, Smart Probe, PFAS Free, 30QT, Stainless Steel",215.99,USD,Kitchen & Dining,Nuwave,https://m.media-amazon.com/images/I/71QBhM7Q9HL._AC_UY218_.jpg,in stock,new,https://www.amazon.com/dp/B0CJMV9RZK,100-presets,smart-probe
B0DY11H2PJ,BLACK+DECKER 5-in-1 Microwave Oven,"Air Fry, Combi, Bake, Roast, and Convection Cooking, 0.9 cu. ft. Countertop Microwave, Stainless Steel, 900 Watts, Child-Lock",180.99,USD,Kitchen & Dining,BLACK+DECKER,https://m.media-amazon.com/images/I/61I3WGiwn4L._AC_UY218_.jpg,in stock,new,https://www.amazon.com/dp/B0DY11H2PJ,5-in-1,air-fry
B09HKPSRWW,TOSHIBA Countertop Microwave Oven Air Fryer Combo,"Inverter, Convection, Broil, Speedy Combi, Even Defrost, Humidity Sensor, Mute Function, 27 Auto Menu&47 Recipes, 1.0 cu.ft/30QT, 1000W",349.99,USD,Kitchen & Dining,TOSHIBA,https://m.media-amazon.com/images/I/81Q0g8miyVL._AC_UY218_.jpg,in stock,new,https://www.amazon.com/dp/B09HKPSRWW,inverter-technology,humidity-sensor
B08TSV54MG,Gourmia Toaster Oven Air Fryer Combo,"17 cooking presets 1700W french door digital air fryer oven 24L capacity accessories, convection rack, baking pan tray recipe book",107.22,USD,Kitchen & Dining,Gourmia,https://m.media-amazon.com/images/I/81mVFQ2lWqL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B08TSV54MG,17-presets,french-door
B0C1LDRFSK,Nuwave Bravo Air Fryer Toaster Smart Oven,"10-in-1 Countertop Convection, 1800 Watts, 21-Qt Capacity, 50°-450°F Temp Controls, Top and Bottom Heater Adjustments 0%-100%, PFAS Free, Stainless Steel",152.99,USD,Kitchen & Dining,Nuwave,https://m.media-amazon.com/images/I/81ot-6San8L._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B0C1LDRFSK,10-in-1,temp-control
B08C8H1PN2,Hamilton Beach Digital Air Fryer Toaster Oven Combo,"10 Ways to Cook, 4 Preset Functions, Stay On & 1800 Watts, LED Capacitive-Touch Controls, 2 Rack Positions, Fits 12 Pizza, Black & Stainless Steel",199.95,USD,Kitchen & Dining,Hamilton Beach,https://m.media-amazon.com/images/I/71-NvYPvaQL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B08C8H1PN2,10-cooking-ways,led-controls
B09B7SB46R,Emeril Lagasse Extra Large French Door Air Fryer,"Toaster Oven Combo, 24 Cooking Functions and Digital Controls, 7 Accessories Included, Stainless Steel Finish, 26QT Capacity",209.99,USD,Kitchen & Dining,Emeril Lagasse,https://m.media-amazon.com/images/I/818Y2wKBYSL._AC_UL320_.jpg,in stock,new,https://www.amazon.com/dp/B09B7SB46R,24-functions,extra-large
